frame_index,timestamp_sec,detected,arousal,valence,intensity,emotion_label
360,12.012,True,0.299,-0.095,0.314,Slightly tensed
364,12.145466666666668,True,0.274,-0.087,0.287,Slightly tensed
368,12.278933333333333,True,0.298,0.043,0.301,Slightly astonished
372,12.4124,True,0.235,-0.133,0.27,Slightly alarmed
376,12.545866666666667,True,0.261,-0.074,0.271,Slightly tensed
380,12.679333333333334,True,0.443,-0.055,0.446,Moderately aroused
384,12.812800000000001,True,0.446,-0.245,0.509,Moderately alarmed
388,12.946266666666666,True,0.318,-0.195,0.373,Moderately alarmed
392,13.079733333333333,True,0.414,-0.004,0.414,Moderately astonished
396,13.2132,True,0.379,-0.088,0.389,Moderately aroused
400,13.346666666666668,True,0.317,-0.234,0.394,Moderately afraid
404,13.480133333333333,True,0.277,-0.388,0.477,Moderately annoyed
408,13.6136,True,0.393,-0.386,0.551,Very afraid
412,13.747066666666667,True,0.401,-0.465,0.614,Very annoyed
416,13.880533333333334,True,0.354,-0.155,0.386,Moderately tensed
420,14.014000000000001,True,0.246,-0.262,0.359,Moderately afraid
424,14.147466666666666,True,0.328,-0.156,0.363,Moderately alarmed
428,14.280933333333333,True,0.13,-0.077,0.151,Slightly alarmed
432,14.4144,True,0.422,-0.008,0.422,Moderately astonished
436,14.547866666666668,True,0.399,-0.164,0.431,Moderately tensed
440,14.681333333333333,True,0.31,-0.061,0.316,Slightly aroused
444,14.8148,True,0.235,-0.143,0.275,Slightly alarmed
448,14.948266666666667,True,0.118,-0.183,0.218,Slightly annoyed
452,15.081733333333334,True,0.152,0.097,0.18,Slightly delighted
456,15.2152,True,0.247,-0.236,0.342,Moderately afraid
460,15.348666666666666,True,0.364,-0.061,0.369,Moderately aroused
464,15.482133333333334,True,0.158,0.082,0.178,Slightly excited
468,15.6156,True,0.39,0.081,0.398,Moderately excited
472,15.749066666666668,True,0.309,0.386,0.494,Moderately delighted
476,15.882533333333333,True,0.379,0.321,0.497,Moderately delighted
480,16.016000000000002,True,0.221,-0.21,0.305,Slightly afraid
484,16.149466666666665,True,0.372,-0.15,0.401,Moderately tensed
488,16.282933333333332,True,0.452,-0.127,0.47,Moderately tensed
492,16.4164,True,0.495,-0.077,0.501,Moderately aroused
496,16.549866666666667,True,0.162,-0.172,0.236,Slightly afraid
500,16.683333333333334,True,0.362,0.051,0.366,Moderately astonished
504,16.8168,True,0.194,0.312,0.367,Moderately happy
508,16.950266666666668,True,0.111,0.063,0.128,Slightly delighted
512,17.083733333333335,True,0.063,-0.066,0.091, Neutral
516,17.217200000000002,True,0.118,-0.029,0.122,Slightly aroused
520,17.350666666666665,True,0.204,-0.026,0.206,Slightly aroused
524,17.484133333333332,True,0.2,0.065,0.21,Slightly excited
528,17.6176,True,0.316,0.057,0.321,Slightly astonished
532,17.751066666666667,True,0.156,0.221,0.271,Slightly delighted
536,17.884533333333334,True,0.419,0.19,0.46,Moderately excited
540,18.018,True,0.285,0.053,0.29,Slightly astonished
544,18.151466666666668,True,0.165,0.226,0.28,Slightly delighted
548,18.284933333333335,True,0.197,0.076,0.211,Slightly excited
552,18.418400000000002,True,0.273,0.282,0.392,Moderately delighted
556,18.551866666666665,True,0.228,0.122,0.259,Slightly delighted
560,18.685333333333332,True,0.18,0.055,0.188,Slightly excited
564,18.8188,True,0.552,0.075,0.557,Very astonished
568,18.952266666666667,True,0.147,-0.073,0.164,Slightly alarmed
572,19.085733333333334,True,0.297,-0.014,0.297,Slightly astonished
576,19.2192,True,0.269,-0.177,0.322,Slightly alarmed
580,19.352666666666668,True,0.061,0.029,0.068, Neutral
584,19.486133333333335,True,0.108,-0.062,0.125,Slightly alarmed
588,19.619600000000002,True,0.159,-0.108,0.192,Slightly alarmed
592,19.753066666666665,True,0.105,-0.007,0.105,Slightly aroused
596,19.886533333333333,True,0.17,-0.053,0.178,Slightly tensed
600,20.02,True,0.152,-0.092,0.178,Slightly alarmed
604,20.153466666666667,True,0.137,-0.064,0.151,Slightly alarmed
608,20.286933333333334,True,0.144,-0.12,0.187,Slightly afraid
612,20.4204,True,0.135,0.062,0.149,Slightly excited
616,20.553866666666668,True,0.205,-0.019,0.206,Slightly aroused
620,20.687333333333335,True,0.259,0.252,0.361,Moderately delighted
624,20.820800000000002,True,0.02,0.027,0.034, Neutral
628,20.954266666666665,True,0.108,0.258,0.28,Slightly happy
632,21.087733333333333,True,0.309,0.229,0.385,Moderately delighted
636,21.2212,True,0.324,-0.124,0.347,Moderately tensed
640,21.354666666666667,True,0.305,-0.125,0.33,Moderately tensed
644,21.488133333333334,True,0.312,-0.113,0.332,Moderately tensed
648,21.6216,True,0.377,0.284,0.472,Moderately delighted
652,21.755066666666668,True,0.273,0.023,0.274,Slightly astonished
656,21.888533333333335,True,0.261,-0.144,0.298,Slightly alarmed
660,22.022000000000002,True,0.275,0.135,0.306,Slightly excited
664,22.155466666666666,True,0.384,0.141,0.409,Moderately excited
668,22.288933333333333,True,0.42,0.026,0.421,Moderately astonished
672,22.4224,True,0.302,-0.21,0.368,Moderately alarmed
676,22.555866666666667,True,0.275,0.034,0.277,Slightly astonished
680,22.689333333333334,True,0.318,-0.054,0.323,Slightly aroused
684,22.8228,True,0.204,0.022,0.205,Slightly astonished
688,22.956266666666668,True,0.315,-0.136,0.343,Moderately tensed
692,23.089733333333335,True,0.298,-0.038,0.3,Slightly aroused
696,23.223200000000002,True,0.387,0.042,0.389,Moderately astonished
700,23.356666666666666,True,0.471,-0.115,0.485,Moderately aroused
704,23.490133333333333,True,0.415,-0.006,0.415,Moderately astonished
708,23.6236,True,0.386,0.15,0.414,Moderately excited
712,23.757066666666667,True,0.305,-0.118,0.327,Moderately tensed
716,23.890533333333334,True,0.365,-0.009,0.365,Moderately astonished
720,24.024,True,0.188,-0.132,0.23,Slightly alarmed
724,24.157466666666668,True,0.202,0.081,0.218,Slightly excited
728,24.290933333333335,True,0.361,0.149,0.391,Moderately excited
732,24.424400000000002,True,0.153,0.111,0.189,Slightly delighted
736,24.557866666666666,True,0.347,0.057,0.352,Moderately astonished
740,24.691333333333333,True,0.183,0.04,0.187,Slightly excited
744,24.8248,True,0.19,-0.079,0.206,Slightly tensed
